gene_id	ERS490437	ERS494394	ERS490331	ERS490187	ERS488920	ERS488625	ERS490542	ERS494445	ERS494173	ERS494518	ERS488573	ERS488299	ERS490659	ERS494332	ERS489074	ERS488547	ERS490743	ERS490269	ERS489339	ERS489164	ERS491424	ERS490396	ERS489677	ERS489136	ERS489585	ERS488332	ERS494583
P9301_08471 	40	12	45	0	24	46	63	0	115	0	122	0	60	166	20	344	36	0	30	90	0	403	108	5	31	0	0
P9301_08481 	31	0	0	0	256	1	43	4	66	0	51	0	71	63	10	174	55	0	136	63	0	245	78	31	10	0	0
P9301_08491 	71	6	0	0	665	121	41	14	73	0	135	0	82	72	21	301	55	0	196	104	0	238	73	114	92	0	0
P9301_08501 	8	0	0	0	415	28	0	0	13	0	1	0	1	0	5	50	1	0	46	18	0	49	16	36	0	0	0
P9301_08511 	292	21	0	0	7120	80	198	9	219	3	433	0	235	129	25	1367	205	0	302	505	0	1015	183	704	0	0	0
P9301_08521 	45	0	0	0	221	59	11	0	37	0	69	0	29	17	0	351	3	0	46	119	0	197	33	10	0	0	0
P9301_08531 	27	0	0	0	95	36	24	0	22	0	143	0	31	20	12	308	11	0	26	120	0	256	0	24	0	0	0
P9301_08541 	17	0	0	0	239	38	8	0	12	0	40	0	6	9	0	60	4	0	43	35	0	67	4	53	0	0	0
P9301_08551 	9	0	0	0	451	73	35	0	13	0	60	0	10	77	9	145	16	0	13	188	0	134	13	81	0	0	0
P9301_08561 	120	11	0	0	7720	108	75	0	68	2	168	0	58	81	134	587	65	0	183	240	0	321	84	1188	659	0	0
P9301_08571 	20	0	0	0	174	95	29	0	57	3	129	0	68	37	19	108	67	0	0	68	0	157	68	14	0	0	0
P9301_08581 	19	9	1	0	8	0	19	0	44	0	14	0	29	66	8	55	5	0	0	44	0	204	0	0	0	0	1
P9301_08591 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
P9301_08601 	74	0	0	0	0	0	20	0	59	8	111	0	28	27	11	116	35	0	2	163	0	477	24	6	0	0	0
P9301_08611 	8	0	0	0	7	0	6	0	1	4	9	0	7	56	0	36	0	0	0	7	0	87	16	0	0	0	0
P9301_08621 	14	0	0	0	35	0	4	14	69	6	67	0	49	16	12	108	4	0	0	12	0	366	0	13	35	0	0
P9301_08631 	6	0	0	0	31	0	10	0	21	0	22	0	6	0	0	33	5	0	0	8	0	31	3	13	29	0	0
P9301_08641 	10	4	0	0	0	0	0	0	0	0	8	0	0	0	0	7	0	0	0	0	0	21	0	0	0	0	0
P9301_08651 	25	0	0	0	3	0	4	0	7	0	11	0	11	0	0	33	0	0	28	5	0	57	0	6	0	0	0
P9301_08661 	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
P9301_08671 	0	0	0	0	0	0	8	0	3	0	1	0	3	0	0	9	11	0	2	0	0	9	0	0	0	0	0
P9301_08681 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
P9301_08691 	14	0	0	0	34	0	15	0	2	0	43	0	13	25	0	23	67	0	130	91	0	153	99	3	59	0	0
P9301_08701 	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	35	0	0
P9301_08711 	4	0	0	0	30	0	0	0	0	0	0	0	2	0	0	11	18	0	0	21	0	4	0	1	0	0	0
P9301_08721 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
P9301_08731 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08741 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08751 	0	0	0	0	240	1	37	0	1	0	37	0	26	1	0	136	31	0	51	136	0	20	30	90	1	0	0
P9301_08761 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08771 	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08781 	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08791 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08801 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_08811 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P9301_08821 	0	0	0	0	0	0	2	0	0	3	5	0	2	14	0	10	0	0	3	0	0	0	0	0	0	0	0
P9301_08831 	1	0	0	0	13	8	7	0	7	0	31	0	20	0	0	40	11	0	33	22	0	0	0	6	0	0	0
P9301_08841 	62	4	0	0	81	8	22	0	12	0	68	0	45	8	11	106	18	2	28	45	0	106	27	17	1	0	0
P9301_08851 	2	5	0	0	21	0	0	0	1	0	11	0	9	0	0	0	7	0	0	0	0	0	0	0	18	0	0
P9301_08861 	96	37	45	0	107	1087	384	68	284	64	1018	0	851	380	19	387	122	1	408	588	1	403	180	180	3980	0	2
P9301_08871 	2	0	0	0	42	0	0	0	3	0	9	0	1	0	8	11	6	0	0	12	0	5	0	0	0	0	0
P9301_08881 	2	0	0	0	34	18	6	0	0	0	0	0	8	0	0	10	2	0	0	6	0	0	0	3	0	0	0
P9301_08891 	0	0	0	0	24	0	0	0	0	0	0	0	12	0	0	13	5	0	0	4	0	41	0	0	0	0	0
P9301_08901 	12	0	0	0	98	0	4	0	11	0	9	0	34	0	0	30	35	0	0	52	0	127	10	1	48	0	0
P9301_08911 	0	0	0	0	254	0	10	5	3	0	10	0	10	0	1	46	7	0	0	24	0	8	0	17	2	0	0
P9301_08921 	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0
P9301_08931 	3	0	0	0	73	28	6	0	5	0	4	0	7	0	0	29	8	0	7	40	0	0	0	1	23	0	0
P9301_08941 	41	0	0	0	1072	1	75	8	12	0	73	0	50	27	0	210	219	0	63	95	0	209	9	101	41	0	0
P9301_08951 	15	0	0	0	67	0	5	0	11	0	12	0	11	19	1	51	10	0	9	4	0	47	0	2	50	0	0
P9301_08961 	2	0	0	0	0	0	0	0	1	0	6	0	2	0	1	6	8	0	0	31	0	0	0	0	0	0	0
P9301_08971 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0
P9301_08981 	12	0	0	0	0	0	3	0	8	0	3	0	7	0	3	0	2	0	6	0	0	0	0	0	13	0	0
P9301_08991 	0	0	0	0	17	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_09001 	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	4	2	0	0	0	0	8	0	0	0	0	0
P9301_09011 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_09021 	6	0	0	0	61	0	1	0	0	0	0	0	2	0	0	4	5	0	0	0	0	0	10	0	44	0	0
P9301_09031 	11	0	0	0	25	0	1	0	7	0	45	0	15	49	0	50	7	0	10	6	0	57	47	0	2	0	0
P9301_09041 	29	0	0	0	5	38	42	22	64	0	30	0	106	128	0	127	39	0	27	0	0	88	1	14	0	0	0
P9301_09051 	1	0	0	0	12	0	1	0	0	0	0	0	0	0	0	29	3	0	60	14	0	0	0	0	0	0	0
P9301_09061 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	0	0	0	0
P9301_09071 	0	0	0	0	0	26	0	0	3	0	0	0	3	0	0	8	1	0	0	0	0	0	0	0	56	0	0
P9301_09081 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P9301_09091 	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
P9301_09101 	0	0	0	0	0	0	1	0	5	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0
P9301_09111 	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
